Id,Steps,Reward,Ep steps,Ep reward,Lives,Avg Q,Avg R,Stucked
0,729,74.0,729,74.0,3,0.019590998888015746,0.0,False
1,225,15.0,954,89.0,2,0.03817279100418091,0.0,False
2,76,4.0,1030,93.0,1,0.056987671852111815,0.0,False
3,213,53.0,1243,146.0,0,0.07598605275154113,1.46,False
4,52,1.0,52,1.0,4,0.09557249546051025,1.46,False
5,791,44.0,843,45.0,3,0.11361620426177979,1.46,False
6,111,20.0,954,65.0,2,0.13135800123214722,1.46,False
7,93,13.0,1047,78.0,1,0.14989048719406128,1.46,False
8,329,123.0,1376,201.0,0,0.1688554871082306,3.47,False
9,201,6.0,201,6.0,4,0.1880446994304657,3.47,False
10,444,14.0,645,20.0,3,0.20690367460250855,3.47,False
11,642,115.0,1287,135.0,2,0.22519802331924438,3.47,False
12,74,1.0,1361,136.0,1,0.2429196572303772,3.47,False
13,111,8.0,1472,144.0,0,0.2610581707954407,4.91,False
14,193,4.0,193,4.0,4,0.27973355650901793,4.91,False
15,433,11.0,626,15.0,3,0.298725848197937,4.91,False
16,24,0.0,650,15.0,2,0.31768048882484434,4.91,False
17,406,13.0,1056,28.0,1,0.33691590309143066,4.91,False
18,645,66.0,1701,94.0,0,0.35520984411239626,5.85,False
19,1188,106.0,1188,106.0,4,0.3745491242408752,5.85,False
20,349,66.0,1537,172.0,3,0.39449808835983274,5.85,False
21,513,208.0,2050,380.0,2,0.4138637661933899,5.85,False
22,107,18.0,2157,398.0,1,0.43287471890449525,5.85,False
23,24,0.0,2181,398.0,0,0.45207116842269895,9.83,False
24,1073,72.0,1073,72.0,4,0.47154895901679994,9.83,False
25,370,60.0,1443,132.0,3,0.4901201105117798,9.83,False
26,198,45.0,1641,177.0,2,0.5088919830322266,9.83,False
27,164,41.0,1805,218.0,1,0.5281322240829468,9.83,False
28,160,60.0,1965,278.0,0,0.5476951622962951,12.61,False
29,457,12.0,457,12.0,4,0.567055138349533,12.61,False
30,465,13.0,922,25.0,3,0.5861222684383393,12.61,False
31,433,26.0,1355,51.0,2,0.6056612181663513,12.61,False
32,80,8.0,1435,59.0,1,0.6249587798118591,12.61,False
33,263,42.0,1698,101.0,0,0.6439522278308868,13.62,False
34,671,31.0,671,31.0,4,0.6628111612796783,13.62,False
35,288,39.0,959,70.0,3,0.680846095085144,13.62,False
36,129,17.0,1088,87.0,2,0.698952065706253,13.62,False
37,64,11.0,1152,98.0,1,0.7175757324695587,13.62,False
38,46,7.0,1198,105.0,0,0.7364684224128724,14.67,False
39,99,2.0,99,2.0,4,0.7546913397312164,14.67,False
40,135,3.0,234,5.0,3,0.7731830751895905,14.67,False
41,738,32.0,972,37.0,2,0.793322981595993,14.67,False
42,112,23.0,1084,60.0,1,0.8131093096733093,14.67,False
43,412,186.0,1496,246.0,0,0.8336428022384643,17.13,False
44,552,23.0,552,23.0,4,0.8531955826282501,17.13,False
45,123,2.0,675,25.0,3,0.8727962601184845,17.13,False
46,233,7.0,908,32.0,2,0.891518977880478,17.13,False
47,56,4.0,964,36.0,1,0.909977012872696,17.13,False
48,229,15.0,1193,51.0,0,0.9282923805713653,17.64,False
